oracion_original,label_original,puntaje_positivo,puntaje_negativo,resultado_inferencia,sentimiento,tiempo_ejecucion
it s a bank holiday yet i m only out of work now exam season sucks,negative,0.375,0.125,5.174269352800354,neutral,0.0
cheney and bush are the real culprits,negative,0.375,0.125,5.174269352800354,neutral,0.0009949207305908203
life s a bitch and so is dick cheney p bipart tlot tcot hhrs gop dnc,negative,0.125,0.0,5.022246360284839,neutral,0.0
dick cheney s dishonest speech about torture terror and obama fred kaplan slate,negative,0.25,1.75,3.220529485571438,negative,0.0
the republican party is a bunch of anti abortion zealots who couldn t draw flies to a dump neal boortz just now on the radio,negative,0.375,0.75,4.63289518963117,neutral,0.0009984970092773438
is twitter s connections api broken some tweets didn t make it to twitter,negative,0.0,0.25,4.933326226202213,neutral,0.0
i srsly hate the stupid twitter api timeout thing soooo annoying,negative,0.0,1.125,3.5324209262097535,neutral,0.0
i really liked learning jquery book is worth a look too,positive,0.5,0.5,5.070942524789702,neutral,0.0009975433349609375
very interesting ad from adobe by goodby silverstein amp partners youtube adobe cs le sens propre,positive,1.0,0.375,6.236999900523677,neutral,0.0
goodby silverstein agency new site great,positive,0.25,0.0,5.086717180713975,neutral,0.0
rt goodby silverstein s new site i enjoy it nice find,positive,2.125,0.0,8.157808176903204,positive,0.0
the ever amazing psyop and goodby silverstein amp partners for hp have to go play with after effects now,positive,0.0,0.625,4.5905748922424365,neutral,0.0
top ten most watched on viral video chart love the nike mostvaluablepuppets campaign from wieden amp kennedy,positive,1.0,0.0,6.5255612064122746,neutral,0.0
zomg i have a g,positive,0.0,0.0,4.999999999999997,neutral,0.0010013580322265625
ok so lots of buzz from io but how lucky are they a free g,positive,1.0,0.75,5.432087899837252,neutral,0.0
just got a free g android at google i o,positive,0.0,0.625,4.5905748922424365,neutral,0.0009999275207519531
guess i ll be retiring my g and start using my developer g woot googleio,positive,0.125,0.25,4.955988142825581,neutral,0.0
i am happy for philip being at googleio today,positive,0.875,0.0,6.111256887955915,neutral,0.0
lakers played great cannot wait for thursday night lakers vs,positive,0.0,1.125,3.5324209262097535,neutral,0.0010020732879638672
judd apatow creates fake sitcom on nbc com to market his new movie viral marketing at its best,positive,1.25,0.875,5.4025516048940805,neutral,0.0
viral marketing fail this acia pills brand oughta get shut down for hacking into people s messenger s i get msgs in a day arrrgh,negative,0.0,0.125,4.98295898961456,neutral,0.0
watching night at the museum lmao,positive,0.375,0.0,5.192608741437041,neutral,0.0009927749633789062
i loved night at the museum,positive,0.375,0.125,5.174269352800354,neutral,0.0
just got back from the movies went to see the new night at the museum with rachel it was good,positive,1.625,0.25,6.8628395346214095,positive,0.0
i will take you on a date to see night at the museum whenever you want it looks soooooo good,positive,1.0,0.0,6.5255612064122746,neutral,0.0010037422180175781
no watching the night at the museum getting really good,positive,1.625,0.25,6.8628395346214095,positive,0.0
night at the museum wolverine and junk food perfect monday,positive,0.375,0.0,5.192608741437041,neutral,0.0010056495666503906
saw night at the museum last night pretty crazy movie but the cast was awesome so it was well worth it robin williams forever,positive,1.042,0.708,5.539038106117454,neutral,0.0
night at the museum tonite instead of up oh well that yr old better enjoy it lol,negative,2.167,1.208,6.052959771842708,neutral,0.0
it s unfortunate that after the stimulus plan was put in place twice to help gm on the back of the american people has led to the inevitable,negative,0.0,1.5,1.7248391505817202,negative,0.0
tell me again why we are giving more to gm we should use that for all the programs that support the unemployed,negative,0.125,0.75,4.432901748143907,neutral,0.0
oh yes but if gm dies it will only be worth more boo hahaha,negative,0.25,0.5,4.831785690416665,neutral,0.0
time warner cable is down again rd time since memorial day bummer,negative,0.125,0.625,4.616745507428135,neutral,0.0
i would rather pay reasonable yearly taxes for free fast internet than get gouged by time warner for a slow connection,negative,0.5,0.625,4.942109439738135,neutral,0.0
nooooooo my dvr just died and i was only half way through the ea presser hate you time warner,negative,0.125,0.375,4.875414043319282,neutral,0.0
f ck time warner cable you f cking suck balls i have a hd tv amp my damn hd channels hardly ever come in bullshit,negative,0.25,0.75,4.512083702066812,neutral,0.0
time warner has the worse customer service ever i will never use them again,negative,0.931,0.694,5.447380387469403,neutral,0.0
time warner is the devil worst possible time for the internet to go out,negative,0.375,1.375,3.7240556643221976,neutral,0.0
fuck no internet damn time warner,negative,0.125,0.125,5.005169796714109,neutral,0.0009865760803222656
time warner really picks the worst time to not work all i want to do is get to mtv com so i can watch the hills wtfffff,negative,1.125,2.0,4.738396168665151,neutral,0.0
i hate time warner soooo wish i had vios cant watch the fricken mets game w o buffering i feel like im watching free internet porn,negative,0.625,1.125,4.527083795216428,neutral,0.0
ahh got rid of stupid time warner today amp now taking a nap while the roomies cook for me pretty good end for a monday,negative,1.0,1.375,4.883472139885749,neutral,0.000997781753540039
time warner s hd line up is crap,negative,0.125,0.25,4.955988142825581,neutral,0.0
is being fucked by time warner cable didnt know modems could explode and susan boyle sucks too,negative,0.875,0.625,5.494971611188367,neutral,0.0
time warner cable slogan where calling it a day at pm happens,negative,0.0,0.0,4.999999999999997,neutral,0.0009999275207519531
recovering from surgery wishing was here,negative,0.5,0.0,5.341631453476036,neutral,0.0
my wrist still hurts i have to get it looked at i hate the dr dentist scary places time to watch eagle eye if you want to join txt,positive,0.25,1.875,3.273534853195081,negative,0.0
the dentist lied u won t feel any discomort prob won t even need pain pills man u twippin this shit hurt how many pills can i take,negative,0.75,1.25,4.644334537866631,neutral,0.0010001659393310547
my dentist is great but she s expensive,negative,0.5,0.0,5.341631453476036,neutral,0.0
is studing math tomorrow exam and dentist,positive,0.0,0.125,4.98295898961456,neutral,0.0010042190551757812
my dentist was wrong wrong,negative,0.25,1.0,4.02112772721908,neutral,0.0
going to the dentist later,negative,0.0,0.0,4.999999999999997,neutral,0.0
son has me looking at cars online i hate car shopping would rather go to the dentist anyone with a good car at a good price to sell,negative,1.625,0.375,6.4675790737902545,neutral,0.0010006427764892578
luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts how jacked up is that,negative,0.125,0.0,5.022246360284839,neutral,0.0
safeway is very rock n roll tonight,positive,0.25,0.25,5.01948251016965,neutral,0.000993967056274414
the safeway bathroom still smells like ass,negative,0.375,0.75,4.63289518963117,neutral,0.0
at safeway on elkhorn they move like they re dead,negative,0.0,0.625,4.5905748922424365,neutral,0.0
i love dwight howard s vitamin water commercial now i wish he was with nike and not adidas lol,positive,0.875,0.625,5.494971611188367,neutral,0.0
found nothing at nike factory off to banana republic outlet,negative,0.25,0.25,5.01948251016965,neutral,0.0
is lovin his nike already and that s only from running on the spot in his bedroom,positive,0.125,0.5,4.762990896789062,neutral,0.0
i finally got around to using jquery to make my bio collapse yay for slide animations,positive,0.375,0.25,5.122285280245056,neutral,0.0
right lol we ll get there i have high expectations warren buffet style,positive,0.25,0.125,5.069177061744043,neutral,0.0009999275207519531
rt rt great someone s sitting in the shade today because someone planted a tree a long time ago warren buffet,positive,0.0,0.0,4.999999999999997,neutral,0.0
warren buffet became for a time the richest man in the united states not by working but investing in big idea which lead to the fortune,positive,0.875,1.0,4.999999999999999,neutral,0.0
according to the create a school notre dame will have receivers in ncaa at or higher rating sweet,positive,0.625,0.0,5.538030311332957,neutral,0.0009999275207519531
it s definitely under warranty amp my experience is the amazon support for kindle is great had to contact them about my kindle,positive,0.625,0.25,5.456705910453148,neutral,0.0
time warner road runner customer support here absolutely blows i hate not having other high speed net options i m ready to go nuclear,negative,0.625,1.875,4.343700568167952,neutral,0.0
time warner cable phone reps r dumber than nails ugh cable was working mins ago now its not wtf,negative,0.25,0.625,4.689989658279827,neutral,0.0009996891021728516
we tried but time warner wasn t being nice so we recorded today,negative,1.375,0.0,8.329251729590652,positive,0.0
omg time warner f ed up my internet install instead of today its now next saturday another week w o internet amp ehfa v fhg fml,negative,0.625,0.5,5.244051623044583,neutral,0.0
wth i have never seen a line this loooong at time warner before ugh,negative,0.875,0.25,6.008652614955376,neutral,0.0
impatiently awaiting the arrival of the time warner guy it s way too pretty to be inside all afternoon,negative,0.625,0.875,4.797467946694135,neutral,0.0
naive bayes using em for text classification really frustrating,negative,0.875,0.375,5.890992536113139,neutral,0.0
we went to stanford university today got a tour made me want to go back to college it s also decided all of our kids will go there,positive,0.125,0.25,4.955988142825581,neutral,0.0
if you re being harassed by calls about your car warranty changing your number won t fix that they call every number d bags,negative,0.125,0.125,5.005169796714109,neutral,0.0
just blocked united blood services using google voice they call more than those car warranty guys,negative,0.375,0.25,5.122285280245056,neutral,0.0009982585906982422
at amp t is complete fail,negative,0.0,0.0,4.999999999999997,neutral,0.0
oh snap you work at at amp t don t you,negative,0.375,0.0,5.192608741437041,neutral,0.0
i really dont want at amp t phone service they suck when it comes to having a signal,negative,0.75,0.25,5.699688304319941,neutral,0.0009996891021728516
i say we just cut out the small talk at amp t s new slogan f__k you give us your money apologies to bob geldof,negative,0.375,0.375,5.041725845377097,neutral,0.0
pissed about at amp t s mid contract upgrade price for the iphone it s more i m not going to pay for something i thought was,negative,0.625,0.875,4.797467946694135,neutral,0.0
safari is fast even on my shitty at amp t tethering,negative,0.375,0.0,5.192608741437041,neutral,0.0
what is at amp t fucking up,negative,0.5,0.125,5.322107176954405,neutral,0.0
at amp t dropped the ball and isn t supporting crap with the new iphone fail att sucks,negative,0.25,0.25,5.01948251016965,neutral,0.0
yay glad you got the phone still damn you at amp t,negative,0.25,1.0,4.02112772721908,neutral,0.0
talk is cheap bing that i ll stick with google,negative,0.0,0.25,4.933326226202213,neutral,0.0009999275207519531
wtf is the point of deleting tweets if they can still be found in summize and searches twitter please fix that thanks and bye,negative,0.25,0.625,4.689989658279827,neutral,0.0
i love google translator too d good day mate,positive,1.75,0.25,6.755229705638789,positive,0.0
reading on my new kindle,positive,0.25,0.0,5.086717180713975,neutral,0.0009999275207519531
my kindle came and i love it,positive,0.625,0.0,5.538030311332957,neutral,0.0
loving my new kindle named her kendra in case u were wondering the cookbook is the tool cuz it tells u all the tricks best gift evr,positive,1.625,0.25,6.8628395346214095,positive,0.0
the real aig scandal,negative,0.125,0.125,5.005169796714109,neutral,0.0010001659393310547
obama is quite a good comedian check out his dinner speech on cnn very funny jokes,positive,2.25,1.0,6.245715963435359,neutral,0.0
barack obama shows his funny side gt gt great speech,positive,0.0,0.125,4.98295898961456,neutral,0.0
i like this guy barack obama shows his funny side gt gt,positive,0.0,0.0,4.999999999999997,neutral,0.0010030269622802734
obama s speech was pretty awesome last night,positive,0.125,0.375,4.875414043319282,neutral,0.0
reading bill clinton fail obama win,positive,0.0,0.125,4.98295898961456,neutral,0.0
obama more popular than u s among arabs survey president barack obama s popularity in leading arab countries,positive,0.75,0.0,5.789910814647766,neutral,0.0
obama s got jokes haha just got to watch a bit of his after dinner speech from last night i m in love with mr president,positive,0.5,1.0,4.405825240733128,neutral,0.0
lebron james got in a car accident i guess just heard it on evening news wow i cant believe it will he be ok,negative,0.875,0.875,5.130885485273207,neutral,0.0
is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals,positive,1.625,0.375,6.4675790737902545,neutral,0.0
no lebron is the best,positive,1.0,0.125,6.494278027842641,neutral,0.0
lebron is cool i like his personality he has good character,positive,2.375,0.5,6.629262733409312,neutral,0.0
watching lebron highlights damn that niggas good,positive,1.125,0.5,6.035100799877416,neutral,0.0
lebron is murdering shit,positive,0.0,0.75,4.404625816205314,neutral,0.0
lebron is a monsta and he is only smh the world ain t ready,positive,0.25,0.125,5.069177061744043,neutral,0.0
when lebron is done in the nba he will probably be greater than kobe like u said kobe is good but there alot of good players,positive,2.625,0.75,8.05519485426981,positive,0.0009951591491699219
kobe is good bt lebron has my vote,positive,1.0,0.0,6.5255612064122746,neutral,0.0
kobe is the best in the world not lebron,negative,0.75,0.625,5.310795237092629,neutral,0.0
world cup access damn that s a good look,positive,0.875,0.125,6.084548340548338,neutral,0.0010001659393310547
just bought my tickets for the fifa world cup in south africa its going to be a great summer,positive,0.625,0.125,5.5168417500423095,neutral,0.0
i have to go to booz allen hamilton for a hr meeting but then i get to go home,negative,0.0,0.0,4.999999999999997,neutral,0.0
the great indian tamasha truly will unfold from may the result day for indian general election,positive,0.875,0.0,6.111256887955915,neutral,0.0
i have the kindle i ve seen pictures of the dx but haven t seen it in person i love my kindle i m on it everyday,positive,0.625,0.0,5.538030311332957,neutral,0.0
such an awesome idea the continual learning program with a kindle,positive,0.125,0.0,5.022246360284839,neutral,0.0
ooooh what model are you getting i have the d and love love love love it,positive,1.5,0.125,7.49007951416303,positive,0.0
the times of india the wonder that is india s election,positive,1.125,0.125,7.0356307037427195,positive,0.0
good video from google on using search options,positive,1.0,0.125,6.494278027842641,neutral,0.0
lol ah my skin is itchy damn lawnmowing,negative,0.125,0.125,5.005169796714109,neutral,0.0
itchy back dont ya hate it,negative,0.125,0.375,4.875414043319282,neutral,0.0009996891021728516
stanford charity fashion show a top draw,positive,0.0,0.0,4.999999999999997,neutral,0.0
stanford university s facebook profile is one of the most popular official university pages,positive,0.5,0.125,5.322107176954405,neutral,0.0010099411010742188
lyx is cool,positive,0.5,0.5,5.070942524789702,neutral,0.0
sooo dissapointed they sent danny gokey home you still rock danny my hometown hero yeah milrockee,positive,0.0,0.375,4.851966304611187,neutral,0.0
rt american idol fashion adam lambert tones down danny gokey cute,positive,0.125,0.125,5.005169796714109,neutral,0.00099945068359375
i love you danny gokey,positive,0.625,0.0,5.538030311332957,neutral,0.0
so tired i didn t sleep well at all last night,negative,0.25,0.0,5.086717180713975,neutral,0.0
boarding plane for san francisco in hour hr flight blech,negative,0.0,0.0,4.999999999999997,neutral,0.0009987354278564453
bonjour san francisco my back hurts from last night,negative,0.0,0.5,4.738396168665151,neutral,0.0
with my best girl for a few more hours in san francisco mmmmmfamily is wonderful,positive,0.75,0.0,5.789910814647766,neutral,0.0
f up big or go home aig,negative,0.25,0.125,5.069177061744043,neutral,0.0009918212890625
went to see the star trek movie last night very satisfying,positive,0.625,0.5,5.244051623044583,neutral,0.0
i can t wait going to see star trek tonight,positive,0.0,0.75,4.404625816205314,neutral,0.0
star trek was as good as everyone said,positive,1.0,0.625,5.646403098092018,neutral,0.0009999275207519531
am loving new malcolm gladwell book outliers,positive,0.75,0.125,5.766415318751869,neutral,0.0
i highly recommend malcolm gladwell s the tipping point my next audiobook will probably be one of his as well,positive,1.125,0.0,7.0737136838597445,positive,0.0
malcolm gladwell is a genius at tricking people into not realizing he s a fucking idiot,negative,0.25,1.375,3.2548605830962107,negative,0.0
hey no offense but malcolm gladwell is a pretenious annoying cunt and he brings you down cant read his shit,negative,0.125,0.5,4.762990896789062,neutral,0.0
rt great article by malcolm gladwell,positive,0.0,0.0,4.999999999999997,neutral,0.0
i seriously underestimated malcolm gladwell i want to meet this dude,positive,0.375,0.0,5.192608741437041,neutral,0.0009996891021728516
i hate comcast right now everything is down cable internet amp phone ughh what am i to do,negative,0.625,1.0,4.65249761278585,neutral,0.0
comcast sucks,negative,0.0,0.0,4.999999999999997,neutral,0.0
the day i never have to deal with comcast again will rank as one of the best days of my life,negative,0.875,0.875,5.130885485273207,neutral,0.0
did comcast fail again,negative,0.0,0.5,4.738396168665151,neutral,0.0
curses the twitter api limit,negative,0.0,0.25,4.933326226202213,neutral,0.0
now i can see why dave winer screams about lack of twitter api its limitations and access throttles,negative,0.625,0.125,5.5168417500423095,neutral,0.0010058879852294922
arg twitter api is making me crazy,negative,0.0,0.0,4.999999999999997,neutral,0.0
i m really loving the new search site wolfram alpha makes google seem so quaint,positive,0.875,0.375,5.890992536113139,neutral,0.0
wolfram alpha sucks even for researchers the information provided is less than you can get from google or wikipedia totally useless,negative,2.375,1.25,6.779470514428561,positive,0.0010018348693847656
off to the nike factory,positive,0.0,0.0,4.999999999999997,neutral,0.0
new nike muppet commercials are pretty cute why do we live together again,positive,0.375,0.75,4.63289518963117,neutral,0.0
oh those are awesome i so wish they weren t owned by nike,negative,0.0,0.0,4.999999999999997,neutral,0.0009982585906982422
awesome seeing the show friday at the shoreline amphitheatre never seen nin before can t wait,positive,0.0,0.625,4.5905748922424365,neutral,0.0
arhh it s weka bug and i spent almost two hours to find that out crappy me,negative,0.25,0.0,5.086717180713975,neutral,0.0
hey bud np i do so love my d although i d love a d mkii more,positive,1.5,1.0,5.2616038313348445,neutral,0.000997304916381836
just got us a d for the office d,positive,0.25,0.5,4.831785690416665,neutral,0.0
just picked up my new canon d it s beautiful prepare for some seriously awesome photography,positive,1.75,0.25,6.755229705638789,positive,0.0
just got my new toy canon d love love love it,positive,1.25,0.25,6.908623948311,positive,0.0009965896606445312
learning about lambda calculus,positive,0.5,0.0,5.341631453476036,neutral,0.0
i m moving to east palo alto,positive,0.0,0.0,4.999999999999997,neutral,0.0
atebits i just finished watching your stanford iphone class session i really appreciate it you rock,positive,0.375,0.25,5.122285280245056,neutral,0.0
hi just saw your stanford talk and really liked your advice just saying hi from singapore yes the videos do get around,positive,1.5,0.25,6.92096423397713,positive,0.0
lakers tonight let s go,positive,0.0,0.0,4.999999999999997,neutral,0.0
will the lakers kick the nuggets ass tonight,positive,0.0,0.0,4.999999999999997,neutral,0.0
oooooooh north korea is in troubleeeee,negative,0.0,0.0,4.999999999999997,neutral,0.0
wat the heck is north korea doing they just conducted powerful nuclear tests follow the link,negative,1.0,0.625,5.646403098092018,neutral,0.0
listening to obama friggin north korea,negative,0.0,0.0,4.999999999999997,neutral,0.0
i just realized we three monkeys in the white obama biden pelosi sarah palin,negative,0.125,0.375,4.875414043319282,neutral,0.0
pelosi should stay in china and never come back,negative,0.125,0.25,4.955988142825581,neutral,0.0
nancy pelosi gave the worst commencement speech i ve ever heard yes i m still bitter about this,negative,0.25,1.25,3.3524608076666924,neutral,0.0
ugh the amount of times these stupid insects have bitten me grr,negative,0.0,1.0,3.8887431120440854,neutral,0.0010008811950683594
prettiest insects ever pink katydids,positive,0.0,0.25,4.933326226202213,neutral,0.0
just got barraged by a horde of insects hungry for my kitchen light so scary,negative,0.125,0.375,4.875414043319282,neutral,0.0010080337524414062
just had mcdonalds for dinner d it was goooood big mac meal,positive,0.625,0.375,5.363457968287489,neutral,0.0
ahh yes lol ima tell my hubby to go get me sum mcdonalds,positive,0.375,0.25,5.122285280245056,neutral,0.0010004043579101562
stopped to have lunch at mcdonalds chicken nuggetssss yummmmmy,positive,0.0,0.0,4.999999999999997,neutral,0.0
could go for a lot of mcdonalds i mean a lot,positive,0.375,0.25,5.122285280245056,neutral,0.0
my exam went good your prayers worked,positive,1.0,0.0,6.5255612064122746,neutral,0.0009992122650146484
only one exam left and i am so happy for it d,positive,0.875,0.0,6.111256887955915,neutral,0.0
math review im going to fail the exam,negative,0.0,0.125,4.98295898961456,neutral,0.0
colin powell rocked yesterday on cbs cheney needs to shut the hell up and go home powell is a man of honor and served our country proudly,negative,1.0,0.625,5.646403098092018,neutral,0.0009984970092773438
obviously not siding with cheney here,negative,0.5,0.625,4.942109439738135,neutral,0.0
absolutely hilarious from,positive,0.5,0.0,5.341631453476036,neutral,0.0
i never did thank you for including me in your top twitter authors you rock amp i new wave d,positive,0.5,1.0,4.405825240733128,neutral,0.0
rt awesome jquery reference book for coda webdesign,positive,0.0,0.0,4.999999999999997,neutral,0.0
i ve been sending e mails like crazy today to my contacts does anyone have a contact at goodby silverstein i d love to speak to them,positive,0.375,0.375,5.041725845377097,neutral,0.0
